codigo,marca,tipo,categoria,preco_unitario,custo,obs
MOLO00025125.0,Logitech,Mouse,1,25.95,6.50,
MOLO000192,Logitech,Mouse,2,19.95,5.00,
CAHA000251,Hashtag,Camisa,1,25.00,11.00,
CAHA000252,Hashtag,Camisa,2,25.00,11.00,Conferir estoque
MOMU000111,Multilaser,Mouse,1,11.99,3.40,
BOHA000251,Hashtag,Bone,1,25.00,11.00,
BOHA000252,Hashtag,Bone,2,25.00,11.00,
CAHA000273,Hashtag,Camisa,3,27.50,12.40,Troca de fornecedor
CAHA000274,Hashtag,Camisa,4,27.50,12.40,
CAHA000275,Hashtag,Camisa,5,27.50,12.40,
TELG000821,LG,Televisao,1,820.00,172.20,
TELG000252,LG,Televisao,2,250.00,62.50,
TELG000373,LG,Televisao,3,378.00,83.20,
TELG000524,LG,Televisao,4,520.00,145.60,
TESA000125,Samsung,Televisao,5,1260.00,378.00,
TESA000346,Samsung,Televisao,6,340.00,71.40,
TESA000747,Samsung,Televisao,7,740.00,214.60,
TESA000108,Samsung,Televisao,8,10000.00,3000.00,
TESA000729,Samsung,Televisao,9,720.00,201.60,
TESA0002010,Samsung,Televisao,10,2000.00,440.00,
TEAO0002511,AOC,Televisao,11,250.00,62.50,
TEAO0003612,AOC,Televisao,12,360.00,97.20,
TETO0006413,Toshiba,Televisao,13,640.00,185.60,
